Sampling_event,River,Site,Location_Code,Lat,Lon,Presentation,Replicate,Quarry,Date,Time,Treatment,Guppy_Number,Male_Female_ratio,Guppy_length_mm,Control_first,Flow_max_rps,Max_Flow_ms,Depth_cm,Width_m,Min_from_sunrise,Turb_mean_NTU,DO_mgL,Temp_mean_C,Light_mean_lux,Canopy_cover,Trial_length_min,APtottime,APproptime,APAttack,APvisits,CFtottime,CFproptime,CFAttack,CFvisits,HMtottime,HMproptime,HMAttack,HMvisits,HTtottime,HTproptime,HTAttack,HTvisits,AHtottime,AHproptime,AHAttack,AHvisits,ABtottime,ABproptime,ABAttack,ABvisits,RQtottime,RDtottime,RDproptime,RDAttack,RDvisits,MCtottime,MCproptime,MCAttack,MCvisits,MCFirstV,MCFirstA,RDFirstV,RDFirstA,RQFirstV,RQFirstA,ABFirstV,ABFirstA,AHFirstV,AHFirstA,HTFirstV,HTFirstA,HMFirstV,HMFirstA,CFFirstV,CFFirstA,APFirstV,APFirstA,Predtottime,Predproptime,PredAttack,PredFirstV,PredFirstA,Predvisits,Trial_length,AP,CF,HM,HT,AH,AB,RQ,RD,MC
se168,lopinot,1,3LoA3,10.7054614,-61.3207949,3,2,n,04/05/2022,14:06,prey,10,0.4,26.1,n,0.67,0.17,66,4,500,1.16,13.8,26.75,15909.4,54.8,15,398,0,8,13,803,1,108,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,900,900,900,900,206,900,31,900,900,900,12,900,900,900,31,84,491,541,817,1,116,154,312,22,15,1,1,0,1,0,0,1,0,0
se169,lopinot,1,3LoA1,10.704669,-61.3208909,4,2,n,04/05/2022,14:36,control,0,NA,NA,n,0,0,64,2,530,1.58,13.2,26.67,1296.27,76.76,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,0,0,0,900,900,0,15,0,0,0,0,0,0,0,0,0
se170,lopinot,1,3LoA2,10.7048464,-61.3207613,5,2,n,04/05/2022,14:54,control,0,NA,NA,n,0,0,52,7,548,1.6,13.6,27.2,37230.93,46.55,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,840,840,840,840,840,840,840,840,840,900,840,840,840,840,840,840,840,0,0,0,840,840,0,14,0,0,0,0,0,0,0,0,0
se171,lopinot,1,3LoA3,10.7054614,-61.3207949,6,2,n,04/05/2022,15:15,control,0,NA,NA,n,0.67,0.17,66,4,569,1.16,13.8,26.77,7276.47,54.8,15,15,0,0,3,449,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,18,900,900,900,18,900,900,900,18,684,311,900,462,1,1,91,684,12,15,1,1,0,1,0,0,0,0,0
se172,caura,1,2CaA1,10.7092688,-61.3552454,1,2,n,05/05/2022,09:35,prey,10,0.4,23.1,n,1.23,0.31,57,5,229,3.33,12.9,24.94,6123.2,60.28,15,0,0,0,0,764,1,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,159,900,900,900,159,900,900,900,159,160,900,900,764,1,83,159,160,6,15,0,1,0,0,0,0,0,0,0
se173,caura,1,2CaA2,10.7090272,-61.3549351,2,2,n,05/05/2022,10:04,prey,10,0.4,23.1,n,1.23,0.31,53,7,258,2.14,14,25.68,40908.8,59.96,15,27,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,150,900,900,900,150,900,900,900,171,900,150,900,27,0,0,156,900,2,15,1,1,0,0,0,0,0,0,0
se174,caura,1,2CaA3,10.7089987,-61.3548328,3,2,n,05/05/2022,10:21,prey,10,0.4,23.1,n,3.87,0.97,66,2,275,1.77,14.1,25.44,44632.07,93.64,15,0,0,0,0,37,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,900,900,900,900,150,900,150,900,900,900,150,900,900,900,397,900,900,900,46,0,0,212,900,6,15,0,1,0,0,0,0,1,0,0
se175,caura,1,2CaA1,10.7092688,-61.3552454,4,2,n,05/05/2022,10:49,control,0,NA,NA,n,1.23,0.31,57,5,303,3.33,12.9,25.87,25996.4,60.28,15,0,0,0,0,184,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,73,900,900,900,73,900,900,900,186,900,900,900,184,0,0,110,900,18,15,0,1,0,0,0,0,0,0,0
se176,caura,1,2CaA2,10.7090272,-61.3549351,5,2,n,05/05/2022,11:07,control,0,NA,NA,n,1.23,0.31,53,7,321,2.14,14,26.31,48313.6,59.96,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,0,0,0,900,900,0,15,0,0,0,0,0,0,0,0,0
se177,caura,1,2CaA3,10.7089987,-61.3548328,6,2,n,05/05/2022,11:24,control,0,NA,NA,n,3.87,0.97,66,2,338,1.77,14.1,25.46,12364.13,93.64,14,0,0,0,0,27,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,840,840,840,840,74,840,74,840,840,840,74,840,840,840,184,840,840,840,29,0,0,101,840,4,14,0,1,0,0,0,0,1,0,0
se178,caura,2,2CaB1,10.6913761,-61.357658,1,2,n,05/05/2022,13:16,control,0,NA,NA,y,0,0,76,10,450,6.13,14.2,26.57,9721.31,70.16,15,127,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,38,900,900,900,38,900,900,900,38,900,290,900,128,0,0,101,900,9,15,1,1,0,0,0,0,0,0,0
se179,caura,2,2CaB2,10.6917665,-61.3575916,2,2,n,05/05/2022,13:35,control,0,NA,NA,y,1,0.25,63,7,469,5.22,14.3,26.62,17248.93,47.06,15,91,0,0,8,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,17,900,900,900,17,900,900,900,277,900,17,900,100,0,0,82,900,10,15,1,1,0,0,0,0,0,0,0
se180,caura,2,2CaB3,10.6920328,-61.3576668,3,2,n,05/05/2022,13:51,control,0,NA,NA,y,0.5,0.13,61,8,485,5.87,14.9,26.33,1858.27,59.66,15,59,0,0,4,42,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,64,900,900,900,64,900,900,900,157,900,64,900,97,0,0,87,900,7,15,1,1,0,0,0,0,0,0,0
se181,caura,2,2CaB1,10.6913761,-61.357658,4,2,n,05/05/2022,14:17,prey,11,0.2,30.7,y,0,0,76,10,511,6.13,14.2,26.45,3573.67,70.16,15,305,0,25,8,322,0,89,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,361,900,900,900,361,900,900,900,361,656,573,614,365,0,114,414,635,15,15,1,1,0,0,0,0,0,0,0
se182,caura,2,2CaB2,10.6917665,-61.3575916,5,2,n,05/05/2022,14:35,prey,11,0.2,30.7,y,1,0.25,63,7,529,5.22,14.3,26.47,6580.8,47.06,15,99,0,8,8,847,1,85,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,17,900,900,900,17,900,900,900,17,17,535,793,847,1,93,146,405,29,15,1,1,0,0,0,0,0,0,0
se183,caura,2,2CaB3,10.6920328,-61.3576668,6,2,n,05/05/2022,14:52,prey,11,0.2,30.7,y,0.5,0.13,61,8,546,5.87,14.9,26.45,4479.53,59.66,15,156,0,1,9,860,1,62,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,11,900,900,900,11,900,900,900,11,12,115,604,616,1,63,37,308,28,15,1,1,0,0,0,0,0,0,0
se184,guanapo,1,5GuA1,10.6956507,-61.2615404,1,2,y,06/05/2022,09:34,control,10,0.4,20.9,y,3.57,0.9,55,4,228,1.59,14.4,24.49,2770.47,50.07,15,28,0,0,2,0,0,0,0,0,0,0,0,24,0,0,6,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,165,900,900,900,4,900,900,900,900,900,481,900,60,0,0,217,900,12,15,1,0,0,1,0,1,0,0,0
se185,guanapo,1,5GuA2,10.6960796,-61.2617315,2,2,y,06/05/2022,10:00,prey,10,0.4,20.9,n,3.73,0.94,61,7,254,1.22,14.6,25.05,6590.33,0.01,15,26,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,900,900,900,900,250,900,165,900,900,900,5,900,900,900,900,900,537,900,41,0,0,239,900,4,15,1,0,0,1,0,0,1,0,0
se186,guanapo,1,5GuA3,10.6965746,-61.262246,3,2,y,06/05/2022,10:16,prey,10,0.4,20.9,n,0,0,64,6,270,1.04,13.8,25.06,40121.73,53.93,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,22,900,900,900,22,900,900,900,900,900,900,900,15,0,0,22,900,6,15,0,0,0,1,0,1,0,0,0
se187,guanapo,1,5GuA1,10.6956507,-61.2615404,4,2,y,06/05/2022,10:35,prey,0,NA,NA,y,3.57,0.9,55,4,289,1.59,14.4,24.56,5181,50.07,15,73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,361,900,900,900,17,900,900,900,900,900,661,900,81,0,0,346,900,5,15,1,0,0,1,0,1,0,0,0
se188,guanapo,1,5GuA2,10.6960796,-61.2617315,5,2,y,06/05/2022,11:03,control,0,NA,NA,n,3.73,0.94,61,7,317,1.22,14.6,25.41,10181.4,0.01,15,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,96,900,900,900,19,900,900,900,900,900,550,900,7,0,0,222,900,1,15,1,0,0,1,0,0,0,0,0
se189,guanapo,1,5GuA3,10.6965746,-61.262246,6,2,y,06/05/2022,11:20,control,0,NA,NA,n,0,0,64,6,334,1.04,13.8,25.72,33697.87,53.93,15,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,38,900,900,900,13,900,900,900,900,900,401,900,15,0,0,151,900,1,15,1,0,0,1,0,0,0,0,0
se190,guanapo,2,5GuB1,10.6932231,-61.2610646,1,2,y,06/05/2022,13:28,control,0,NA,NA,y,0,0,91,10,462,1.59,13.8,26.75,2008.87,63.38,15,12,0,0,2,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,107,900,900,900,3,900,900,900,900,900,150,900,24,0,0,87,900,8,15,1,0,0,1,0,0,0,0,0
se191,guanapo,2,5GuB2,10.6935391,-61.2621615,2,2,y,06/05/2022,13:49,control,0,NA,NA,y,1.97,0.49,47,7,483,1.6,14,26.65,9123.13,55.9,15,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,516,900,900,900,3,900,900,900,900,900,516,900,2,0,0,345,900,1,15,1,0,0,1,0,0,0,0,0
se192,guanapo,2,5GuB3,10.6940758,-61.2633045,3,2,y,06/05/2022,14:09,control,0,NA,NA,y,1.7,0.43,102,10.5,503,1.52,14,26.76,28924.87,0.97,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,89,900,900,900,2,900,900,900,900,900,900,900,17,0,0,46,900,6,15,0,0,0,1,0,1,0,0,0
se193,guanapo,2,5GuB1,10.6932231,-61.2610646,4,2,y,06/05/2022,14:37,prey,10,0.3,25.8,y,0,0,91,10,531,1.59,13.8,26.47,935.53,63.38,15,20,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,112,900,900,900,4,900,900,900,900,900,112,900,21,0,0,76,900,4,15,1,0,0,1,0,0,0,0,0
se194,guanapo,2,5GuB2,10.6935391,-61.2621615,5,2,y,06/05/2022,15:06,prey,10,0.3,25.8,y,1.97,0.49,47,7,560,1.6,14,26.11,4634.8,55.9,15,23,0,0,2,0,0,0,0,0,0,0,0,29,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,138,900,900,900,1,900,900,900,900,900,351,900,45,0,0,163,900,6,15,1,0,0,1,0,0,0,0,0
se195,guanapo,2,5GuB3,10.6940758,-61.2633045,6,2,y,06/05/2022,15:34,prey,10,0.3,25.8,y,1.7,0.43,102,10.5,588,1.52,14,26.18,14754.2,0.97,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,46,900,900,900,5,900,900,900,900,900,900,900,10,0,0,26,900,3,15,0,0,0,1,0,1,0,0,0
se196,turure,1,7TuA1,10.6800449,-61.166981,1,2,y,08/05/2022,12:45,prey,10,0.2,25.4,n,0,0,93,2.7,420,2.64,16,26.24,36821.47,59.42,15,0,0,0,0,0,0,0,0,0,0,0,0,385,0,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,268,900,900,900,6,652,900,900,900,900,900,900,385,0,7,137,652,25,15,0,0,0,1,0,0,0,0,0
se197,turure,1,7TuA2,10.6802927,-61.1670844,2,2,y,08/05/2022,13:05,prey,10,0.2,25.4,n,0,0,50,7,440,2.37,14,25.38,913.47,50.64,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,266,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,50,900,446,900,50,900,900,900,900,900,900,900,267,0,0,182,900,5,15,0,0,0,1,1,0,0,0,0
se198,turure,1,7TuA3,10.6806674,-61.1672407,3,2,y,08/05/2022,13:27,prey,10,0.2,25.4,n,0,0,81,3,462,1.58,13.3,25.26,5589.73,64.78,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,64,900,900,900,5,164,900,900,900,900,900,900,0,0,2,34,164,0,15,0,0,0,1,0,0,0,0,0
se199,turure,1,7TuA1,10.6800449,-61.166981,4,2,y,08/05/2022,13:56,control,0,NA,NA,n,0,0,93,2.7,491,2.64,16,25.81,5579.33,59.42,15,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,172,900,900,900,1,900,900,900,900,900,900,900,38,0,0,86,900,19,15,0,0,0,1,0,0,0,0,0
se200,turure,1,7TuA2,10.6802927,-61.1670844,5,2,y,08/05/2022,14:14,control,0,NA,NA,n,0,0,50,7,509,2.37,14,25.44,866.64,50.64,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,210,900,478,900,210,900,900,900,900,900,900,900,17,0,0,299,900,1,15,0,0,0,0,1,0,0,0,0
se201,turure,1,7TuA3,10.6806674,-61.1672407,6,2,y,08/05/2022,14:34,control,0,NA,NA,n,0,0,81,3,529,1.58,13.3,25.15,3804.2,64.78,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,75,900,900,900,3,900,900,900,900,900,900,900,0,0,0,39,900,0,15,0,0,0,1,0,0,0,0,0
se202,aripo,3,6ArC1,10.650799,-61.2225565,1,2,n,09/05/2022,09:02,control,0,NA,NA,y,0,0,55,5,197,4.03,8.9,26.85,1089.46,61.68,15,63,0,0,7,622,1,0,4,0,0,0,0,18,0,0,12,0,0,0,0,4,0,0,2,0,251,0,1,7,0,0,0,0,900,900,381,898,900,900,9,900,900,900,9,900,900,900,284,900,316,900,627,1,1,200,898,32,15,1,1,0,1,0,1,0,1,0
se203,aripo,3,6ArC2,10.656661,-61.222766,2,2,n,09/05/2022,09:21,control,0,NA,NA,y,0,0,50,8.5,216,5.31,9.6,26.92,1680.47,67.76,15,72,0,0,4,92,0,0,7,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,162,0,0,11,0,0,0,0,900,900,146,900,900,900,4,900,900,900,113,900,900,900,402,900,113,900,293,0,0,156,900,24,15,1,1,0,1,0,1,0,1,0
se204,aripo,3,6ArC3,10.6505221,-61.2230803,3,2,n,09/05/2022,09:40,control,0,NA,NA,y,0,0,70,12,235,7.27,8.8,27.5,17734.47,11.36,15,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,900,900,758,900,900,900,519,900,900,900,3,900,900,900,519,900,900,900,10,0,0,450,900,2,15,0,1,0,1,0,0,0,1,0
se205,aripo,3,6ArC1,10.650799,-61.2225565,4,2,n,09/05/2022,10:07,prey,10,0.2,27.7,y,0,0,55,5,262,4.03,8.9,26.98,2794.93,61.68,15,534,1,2,7,761,1,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,1,4,13,0,0,0,0,900,900,5,255,900,900,5,900,900,900,5,900,900,900,160,160,139,476,799,1,29,63,297,25,15,1,1,0,1,0,0,0,1,0
se206,aripo,3,6ArC2,10.656661,-61.222766,5,2,n,09/05/2022,10:26,prey,10,0.2,27.7,y,0,0,50,8.5,281,5.31,9.6,27.21,555.13,67.76,15,17,0,0,1,562,1,66,17,212,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,407,0,0,6,0,0,0,0,900,900,169,900,900,900,61,228,900,900,4,900,690,900,64,66,253,900,594,1,69,207,147,25,15,1,1,1,1,0,1,0,1,0
se207,aripo,3,6ArC3,10.6505221,-61.2230803,6,2,n,09/05/2022,10:45,prey,10,0.2,27.7,y,0,0,70,12,300,7.27,8.8,27.55,11533.07,11.36,15,101,0,0,5,38,0,0,3,194,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,6,0,0,0,0,900,900,161,900,900,900,161,900,900,900,5,900,500,693,471,900,538,900,328,0,1,306,693,15,15,1,1,1,1,0,0,0,1,0
se208,st joseph,3,1StC1,10.6953817,-61.4069179,1,2,y,09/05/2022,13:58,control,0,NA,NA,y,0,0,53,7,493,1.87,14.8,27.27,1011.93,67.73,15,205,0,0,9,181,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,82,900,900,900,82,900,900,900,82,900,337,900,310,0,0,146,900,34,15,1,1,0,0,0,1,0,0,0
se209,st joseph,3,1StC2,10.7021109,-61.4059031,2,2,y,09/05/2022,14:18,control,0,NA,NA,y,0.17,0.04,50,7.5,513,1.14,14.6,27.16,1124.4,58.24,15,166,0,0,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,17,900,900,900,17,900,900,900,900,900,17,900,166,0,0,17,900,8,15,1,0,0,1,0,1,0,0,0
se210,st joseph,3,1StC3,10.7027705,-61.4063281,3,2,y,09/05/2022,14:37,control,0,NA,NA,y,0,0,63,5,532,1.34,13.9,27.4,3099.2,50.25,15,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,461,900,900,900,1,900,900,900,900,900,461,900,10,0,0,308,900,2,15,1,0,0,1,0,0,0,0,0
se211,st joseph,3,1StC1,10.6953817,-61.4069179,4,2,y,09/05/2022,15:07,prey,10,0.2,27.3,y,0,0,53,7,562,1.87,14.8,27.14,884.73,67.73,15,709,1,41,8,780,1,295,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,134,900,900,900,134,900,900,900,134,143,204,212,780,1,336,151,178,13,15,1,1,0,0,0,0,0,0,0
se212,st joseph,3,1StC2,10.7021109,-61.4059031,5,2,y,09/05/2022,15:28,prey,10,0.2,27.3,y,0.17,0.04,50,7.5,583,1.14,14.6,27.13,724.4,58.24,15,68,0,0,2,438,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,130,900,900,900,26,900,900,900,325,357,130,900,506,1,19,153,357,9,15,1,1,0,1,0,1,0,0,0
se213,st joseph,3,1StC3,10.7027705,-61.4063281,6,2,y,09/05/2022,15:48,prey,10,0.2,27.3,y,0,0,63,5,603,1.34,13.9,27.23,3356.27,50.25,15,30,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,682,900,900,900,5,900,900,900,900,900,682,900,30,0,0,456,900,2,15,1,0,0,1,0,0,0,0,0
se214,arima,2,4ArB1,10.6898261,-61.2902994,1,2,y,10/05/2022,09:15,prey,10,0.4,27.5,n,0.07,0.02,51,2,210,1.44,14.7,25.12,3299.6,94.31,15,853,1,0,14,123,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,43,900,900,900,43,900,900,900,124,900,43,900,853,1,0,64,900,21,15,1,1,0,0,0,0,0,0,0
se215,arima,2,4ArB2,10.6910773,-61.2908238,2,2,y,10/05/2022,09:37,prey,10,0.4,27.5,n,0,0,54,10,232,1.56,13.2,25.92,31504.87,29.53,15,868,1,8,22,321,0,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,30,900,900,900,30,900,900,900,587,588,30,595,868,1,57,169,591,24,15,1,1,0,0,0,0,0,0,0
se216,arima,2,4ArB3,10.6910499,-61.2907148,3,2,y,10/05/2022,09:53,prey,10,0.4,27.5,n,0,0,56,10,248,1.59,14.3,25.76,31957.47,29.9,15,80,0,0,3,537,1,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,86,900,900,900,86,900,900,900,86,121,223,900,568,1,10,120,121,14,15,1,1,0,0,0,0,0,0,0
se217,arima,2,4ArB1,10.6898261,-61.2902994,4,2,y,10/05/2022,10:25,control,0,NA,NA,n,0.07,0.02,51,2,280,1.44,14.7,26,13905.53,94.31,15,95,0,0,6,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,285,900,900,900,285,900,900,900,310,900,285,900,104,0,0,291,900,8,15,1,1,0,0,0,0,0,0,0
se218,arima,2,4ArB2,10.6910773,-61.2908238,5,2,y,10/05/2022,10:54,control,0,NA,NA,n,0,0,54,10,309,1.56,13.2,27.09,50568,29.53,15,167,0,0,11,69,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,99,900,900,900,99,900,900,900,154,900,99,900,178,0,0,113,900,15,15,1,1,0,0,0,0,0,0,0
se219,arima,2,4ArB3,10.6910499,-61.2907148,6,2,y,10/05/2022,11:10,control,0,NA,NA,n,0,0,56,10,325,1.59,14.3,26.34,35644.53,29.9,15,25,0,0,4,122,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,105,900,900,900,105,900,900,900,105,900,155,900,130,0,0,117,900,7,15,1,1,0,0,0,0,0,0,0
se220,arima,1,4ArA1,10.692835,-61.292449,1,2,y,10/05/2022,12:53,control,0,NA,NA,y,0,0,92,12,428,4.6,16,25.74,29420,4.14,15,198,0,0,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,114,900,900,900,114,900,900,900,275,900,114,900,201,0,0,154,900,18,15,1,1,0,0,0,0,0,0,0
se221,arima,1,4ArA2,10.692755,-61.292442,2,2,y,10/05/2022,13:10,control,0,NA,NA,y,0,0,53,10,445,1.31,16.7,29.02,19780.73,26.68,14,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,840,840,840,840,840,500,840,840,840,500,840,840,840,500,840,840,840,9,0,0,500,840,1,14,0,1,0,0,0,0,0,0,0
se222,arima,1,4ArA3,10.6927453,-61.292564,3,2,y,10/05/2022,13:25,control,0,NA,NA,y,0,0,67,12,460,1.76,16.8,26.11,8507.93,3.34,15,67,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,159,900,900,900,159,900,900,900,900,900,159,900,67,0,0,159,900,6,15,1,0,0,0,0,0,0,0,0
se223,arima,1,4ArA1,10.692835,-61.292449,4,2,y,10/05/2022,13:44,prey,11,0.27,24.9,y,0,0,92,12,479,4.6,16,29.58,22276.4,4.14,15,537,1,51,27,746,1,190,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,109,900,900,900,109,900,900,900,162,169,109,176,766,1,241,122,173,42,15,1,1,0,0,0,0,0,0,0
se224,arima,1,4ArA2,10.692755,-61.292442,5,2,y,10/05/2022,14:00,prey,11,0.27,24.9,y,0,0,53,10,495,1.31,16.7,27.02,56453.47,26.68,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,840,840,840,840,840,840,840,840,840,900,840,840,840,840,840,840,840,0,0,0,840,840,0,14,0,0,0,0,0,0,0,0,0
se225,arima,1,4ArA3,10.6927453,-61.292564,6,2,y,10/05/2022,14:15,prey,11,0.27,24.9,y,0,0,67,12,510,1.76,16.8,26.89,36184.93,3.34,15,49,0,0,4,47,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,109,900,900,900,109,900,900,900,109,900,109,900,76,0,0,109,900,7,15,1,1,0,0,0,0,0,0,0
